year,leaid,lea_name,state_location,city_location,agency_type,enrollment,agency_level,lowest_grade_offered,highest_grade_offered,number_of_schools,boundary_change_indicator,read_test_num_valid,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_midpt,cohort_num,grad_rate_midpt,exp_total,exp_current_elsec_total,exp_tech_equipment,exp_tech_supplies_services
2021,5400990,MORGAN COUNTY SCHOOLS,WV,BERKELEY SPRINGS,Regular local school district,2219,Other,Pre-K,12,7,No change; operational,,,,,,,,,,
2021,5400061,Mountain State Educational Services Cooperative,WV,Dunbar,Regional education service agency,,Not applicable,Not applicable,Not applicable,0,No change; operational,,,,,,,,,,
2021,5401020,NICHOLAS COUNTY SCHOOLS,WV,SUMMERSVILLE,Regular local school district,3498,Other,Pre-K,12,14,No change; operational,,,,,,,,,,
2021,5401050,OHIO COUNTY SCHOOLS,WV,WHEELING,Regular local school district,5027,Other,Pre-K,12,13,No change; operational,,,,,,,,,,
2021,5401080,PENDLETON COUNTY SCHOOLS,WV,FRANKLIN,Regular local school district,870,Other,Pre-K,12,4,No change; operational,,,,,,,,,,
2021,5401110,PLEASANTS COUNTY SCHOOLS,WV,ST. MARYS,Regular local school district,1067,Other,Pre-K,12,5,No change; operational,,,,,,,,,,
2021,5401140,POCAHONTAS COUNTY SCHOOLS,WV,BUCKEYE,Regular local school district,945,Other,Pre-K,12,5,No change; operational,,,,,,,,,,
2021,5401170,PRESTON COUNTY SCHOOLS,WV,KINGWOOD,Regular local school district,4239,Other,Pre-K,12,10,No change; operational,,,,,,,,,,
2021,5401200,PUTNAM COUNTY SCHOOLS,WV,WINFIELD,Regular local school district,9136,Other,Pre-K,12,23,No change; operational,,,,,,,,,,
2021,5401230,RALEIGH COUNTY SCHOOLS,WV,BECKLEY,Regular local school district,10797,Other,Pre-K,12,27,No change; operational,,,,,,,,,,
2021,5401260,RANDOLPH COUNTY SCHOOLS,WV,ELKINS,Regular local school district,3623,Other,Pre-K,12,14,No change; operational,,,,,,,,,,
2021,5401290,RITCHIE COUNTY SCHOOLS,WV,HARRISVILLE,Regular local school district,1251,Other,Pre-K,12,5,No change; operational,,,,,,,,,,
2021,5401320,ROANE COUNTY SCHOOLS,WV,SPENCER,Regular local school district,1802,Other,Pre-K,12,5,No change; operational,,,,,,,,,,
2021,5400059,Southern Educational Services Cooperative,WV,Beckley,Regional education service agency,,Not applicable,Not applicable,Not applicable,0,No change; operational,,,,,,,,,,
2021,5401350,SUMMERS COUNTY SCHOOLS,WV,HINTON,Regular local school district,1361,Other,Pre-K,12,4,No change; operational,,,,,,,,,,
2021,5401380,TAYLOR COUNTY SCHOOLS,WV,GRAFTON,Regular local school district,2290,Other,Pre-K,12,5,No change; operational,,,,,,,,,,
2021,5401410,TUCKER COUNTY SCHOOLS,WV,PARSONS,Regular local school district,957,Other,Pre-K,12,3,No change; operational,,,,,,,,,,
2021,5401440,TYLER COUNTY SCHOOLS,WV,MIDDLEBOURNE,Regular local school district,1230,Other,Pre-K,12,4,No change; operational,,,,,,,,,,
2021,5401470,UPSHUR COUNTY SCHOOLS,WV,BUCKHANNON,Regular local school district,3952,Other,Pre-K,12,10,No change; operational,,,,,,,,,,
2021,5400063,Virtual Preparatory Academy of West Virginia,WV,Kearneysville,Charter agency,,Missing/not reported,,,0,Future,,,,,,,,,,
2021,5401500,WAYNE COUNTY SCHOOLS,WV,WAYNE,Regular local school district,6348,Other,Pre-K,12,18,No change; operational,,,,,,,,,,
2021,5401530,WEBSTER COUNTY SCHOOLS,WV,WEBSTER SPRINGS,Regular local school district,1208,Other,Pre-K,12,4,No change; operational,,,,,,,,,,
2021,5400064,West Virginia Virtual Academy,WV,Charleston,Charter agency,,Missing/not reported,,,0,Future,,,,,,,,,,
2021,5401560,WETZEL COUNTY SCHOOLS,WV,NEW MARTINSVILLE,Regular local school district,2305,Other,Pre-K,12,9,No change; operational,,,,,,,,,,
2021,5401590,WIRT COUNTY SCHOOLS,WV,ELIZABETH,Regular local school district,923,Other,Pre-K,12,3,No change; operational,,,,,,,,,,
2021,5401620,WOOD COUNTY SCHOOLS,WV,PARKERSBURG,Regular local school district,11893,Other,Pre-K,12,27,No change; operational,,,,,,,,,,
2021,5401621,WV SCHOOLS FOR THE DEAF AND THE BLIND,WV,ROMNEY,State-operated agency,78,Other,Kindergarten,12,1,No change; operational,,,,,,,,,,
2021,5400511,WV SCHOOLS OF DIVERSION AND TRANSITION,WV,CHARLESTON,State-operated agency,435,Other,Kindergarten,12,11,No change; operational,,,,,,,,,,
2021,5401650,WYOMING COUNTY SCHOOLS,WV,PINEVILLE,Regular local school district,3632,Other,Pre-K,12,14,No change; operational,,,,,,,,,,
2020,5400030,BARBOUR COUNTY BOARD OF EDUCATION,WV,PHILIPPI,Regular local school district,2146,Other,Pre-K,12,7,No change; operational,Suppressed data,Suppressed data,979,24,,,,,,
2020,5400060,BERKELEY COUNTY SCHOOLS,WV,MARTINSBURG,Regular local school district,19278,Other,Pre-K,12,32,No change; operational,Suppressed data,Suppressed data,7881,21,,,,,,
2020,5400090,BOONE COUNTY  SCHOOLS,WV,MADISON,Regular local school district,3346,Other,Pre-K,12,13,No change; operational,Suppressed data,Suppressed data,1525,26,,,,,,
2020,5400120,BRAXTON COUNTY SCHOOLS,WV,SUTTON,Regular local school district,1771,Other,Pre-K,12,8,No change; operational,Suppressed data,Suppressed data,822,16,,,,,,
2020,5400150,BROOKE COUNTY SCHOOLS,WV,WELLSBURG,Regular local school district,2591,Other,Pre-K,12,7,No change; operational,Suppressed data,Suppressed data,1257,26,,,,,,
2020,5400180,CABELL COUNTY SCHOOLS,WV,HUNTINGTON,Regular local school district,11875,Other,Pre-K,12,26,No change; operational,Suppressed data,Suppressed data,5503,31,,,,,,
2020,5400210,CALHOUN COUNTY SCHOOLS,WV,MT. ZION,Regular local school district,888,Other,Pre-K,12,4,No change; operational,Suppressed data,Suppressed data,386,18,,,,,,
2020,5400240,CLAY COUNTY SCHOOLS,WV,CLAY,Regular local school district,1750,Other,Pre-K,12,6,No change; operational,Suppressed data,Suppressed data,812,21,,,,,,
2020,5400270,DODDRIDGE COUNTY SCHOOLS,WV,WEST UNION,Regular local school district,1102,Other,Pre-K,12,4,No change; operational,Suppressed data,Suppressed data,541,26,,,,,,
2020,5400058,Eastern Panhandle Instructional Cooperative,WV,Martinsburg,Regional education service agency,,Not applicable,Not applicable,Not applicable,0,No change; operational,,,,,,,,,,
2020,5400300,FAYETTE COUNTY SCHOOLS,WV,FAYETTEVILLE,Regular local school district,5688,Other,Pre-K,12,13,No change; operational,Suppressed data,Suppressed data,2672,17,,,,,,
2020,5400330,GILMER COUNTY SCHOOLS,WV,GLENVILLE,Regular local school district,776,Other,Pre-K,12,2,No change; operational,Suppressed data,Suppressed data,427,25,,,,,,
2020,5400360,GRANT COUNTY SCHOOLS,WV,PETERSBURG,Regular local school district,1602,Other,Pre-K,12,5,No change; operational,Suppressed data,Suppressed data,731,31,,,,,,
2020,5400390,GREENBRIER COUNTY SCHOOLS,WV,LEWISBURG,Regular local school district,4719,Other,Pre-K,12,14,No change; operational,Suppressed data,Suppressed data,2152,24,,,,,,
2020,5400420,HAMPSHIRE COUNTY SCHOOLS,WV,ROMNEY,Regular local school district,2885,Other,Pre-K,12,9,No change; operational,Suppressed data,Suppressed data,1277,25,,,,,,
2020,5400450,HANCOCK COUNTY SCHOOLS,WV,NEW CUMBERLAND,Regular local school district,3787,Other,Pre-K,12,9,No change; operational,Suppressed data,Suppressed data,1857,37,,,,,,
2020,5400480,HARDY COUNTY SCHOOLS,WV,MOOREFIELD,Regular local school district,2245,Other,Pre-K,12,6,No change; operational,Suppressed data,Suppressed data,1096,22,,,,,,
2020,5400510,HARRISON COUNTY SCHOOLS,WV,CLARKSBURG,Regular local school district,10111,Other,Pre-K,12,27,No change; operational,Suppressed data,Suppressed data,4746,29,,,,,,
2020,5400511,INSTITUTIONAL EDUCATIONAL PROGRAMS,WV,CHARLESTON,State-operated agency,393,Other,Pre-K,12,23,No change; operational,Suppressed data,Suppressed data,209,0.5,,,,,,
2020,5400540,JACKSON COUNTY SCHOOLS,WV,RIPLEY,Regular local school district,4266,Other,Pre-K,12,13,No change; operational,Suppressed data,Suppressed data,1993,38,,,,,,
2020,5400570,JEFFERSON COUNTY SCHOOLS,WV,CHARLES TOWN,Regular local school district,8506,Other,Pre-K,12,16,No change; operational,Suppressed data,Suppressed data,3388,29,,,,,,
2020,5400600,KANAWHA COUNTY SCHOOLS,WV,CHARLESTON,Regular local school district,24721,Other,Pre-K,12,69,No change; operational,Suppressed data,Suppressed data,11126,29,,,,,,
2020,5400630,LEWIS COUNTY SCHOOLS,WV,WESTON,Regular local school district,2483,Other,Pre-K,12,6,No change; operational,Suppressed data,Suppressed data,1091,19,,,,,,
2020,5400660,LINCOLN COUNTY SCHOOLS,WV,HAMLIN,Regular local school district,3114,Other,Pre-K,12,8,No change; operational,Suppressed data,Suppressed data,1458,17,,,,,,
2020,5400690,LOGAN COUNTY SCHOOLS,WV,WEST LOGAN,Regular local school district,5229,Other,Pre-K,12,18,No change; operational,Suppressed data,Suppressed data,2424,18,,,,,,
2020,5400720,MARION COUNTY SCHOOLS,WV,FAIRMONT,Regular local school district,7658,Other,Pre-K,12,22,No change; operational,Suppressed data,Suppressed data,3439,30,,,,,,
2020,5400750,MARSHALL COUNTY SCHOOLS,WV,MOUNDSVILLE,Regular local school district,4320,Other,Pre-K,12,14,No change; operational,Suppressed data,Suppressed data,2170,28,,,,,,
2020,5400780,MASON COUNTY SCHOOLS,WV,POINT PLEASANT,Regular local school district,3853,Other,Pre-K,12,12,No change; operational,Suppressed data,Suppressed data,1842,20,,,,,,
2020,5400810,MCDOWELL COUNTY SCHOOLS,WV,WELCH,Regular local school district,2706,Other,Pre-K,12,10,No change; operational,Suppressed data,Suppressed data,1302,14,,,,,,
2020,5400840,MERCER COUNTY SCHOOLS,WV,PRINCETON,Regular local school district,8465,Other,Pre-K,12,25,No change; operational,Suppressed data,Suppressed data,4056,26,,,,,,
2020,5400870,MINERAL COUNTY SCHOOLS,WV,KEYSER,Regular local school district,4001,Other,Pre-K,12,14,No change; operational,Suppressed data,Suppressed data,1998,26,,,,,,
2020,5400900,MINGO COUNTY SCHOOLS,WV,WILLIAMSON,Regular local school district,3945,Other,Pre-K,12,10,No change; operational,Suppressed data,Suppressed data,1726,21,,,,,,
2020,5400930,MONONGALIA COUNTY SCHOOLS,WV,MORGANTOWN,Regular local school district,11113,Other,Pre-K,12,18,No change; operational,Suppressed data,Suppressed data,4962,45,,,,,,
2020,5400960,MONROE COUNTY SCHOOLS,WV,UNION,Regular local school district,1663,Other,Pre-K,12,5,No change; operational,Suppressed data,Suppressed data,846,27,,,,,,
2020,5400990,MORGAN COUNTY SCHOOLS,WV,BERKELEY SPRINGS,Regular local school district,2181,Other,Pre-K,12,7,No change; operational,Suppressed data,Suppressed data,1033,22,,,,,,
2020,5400061,Mountain State Educational Services Cooperative,WV,Dunbar,Regional education service agency,,Not applicable,Not applicable,Not applicable,0,No change; operational,,,,,,,,,,
2020,5401020,NICHOLAS COUNTY SCHOOLS,WV,SUMMERSVILLE,Regular local school district,3471,Other,Pre-K,12,14,No change; operational,Suppressed data,Suppressed data,1650,23,,,,,,
2020,5401050,OHIO COUNTY SCHOOLS,WV,WHEELING,Regular local school district,5064,Other,Pre-K,12,13,No change; operational,Suppressed data,Suppressed data,2362,34,,,,,,
2020,5401080,PENDLETON COUNTY SCHOOLS,WV,FRANKLIN,Regular local school district,870,Other,Pre-K,12,4,No change; operational,Suppressed data,Suppressed data,454,33,,,,,,
2020,5401110,PLEASANTS COUNTY SCHOOLS,WV,ST. MARYS,Regular local school district,1052,Other,Pre-K,12,5,No change; operational,Suppressed data,Suppressed data,541,30,,,,,,
2020,5401140,POCAHONTAS COUNTY SCHOOLS,WV,BUCKEYE,Regular local school district,961,Other,Pre-K,12,5,No change; operational,Suppressed data,Suppressed data,485,31,,,,,,
2020,5401170,PRESTON COUNTY SCHOOLS,WV,KINGWOOD,Regular local school district,4210,Other,Pre-K,12,10,No change; operational,Suppressed data,Suppressed data,2055,22,,,,,,
2020,5401200,PUTNAM COUNTY SCHOOLS,WV,WINFIELD,Regular local school district,9147,Other,Pre-K,12,23,No change; operational,Suppressed data,Suppressed data,4277,40,,,,,,
2020,5401230,RALEIGH COUNTY SCHOOLS,WV,BECKLEY,Regular local school district,10869,Other,Pre-K,12,27,No change; operational,Suppressed data,Suppressed data,5020,29,,,,,,
2020,5401260,RANDOLPH COUNTY SCHOOLS,WV,ELKINS,Regular local school district,3790,Other,Pre-K,12,14,No change; operational,Suppressed data,Suppressed data,1794,24,,,,,,
2020,5401290,RITCHIE COUNTY SCHOOLS,WV,HARRISVILLE,Regular local school district,1296,Other,Pre-K,12,5,No change; operational,Suppressed data,Suppressed data,594,31,,,,,,
2020,5401320,ROANE COUNTY SCHOOLS,WV,SPENCER,Regular local school district,1903,Other,Pre-K,12,5,No change; operational,Suppressed data,Suppressed data,877,18,,,,,,
2020,5400059,Southern Educational Services Cooperative,WV,Beckley,Regional education service agency,,Not applicable,Not applicable,Not applicable,0,No change; operational,,,,,,,,,,
2020,5401350,SUMMERS COUNTY SCHOOLS,WV,HINTON,Regular local school district,1393,Other,Pre-K,12,5,No change; operational,Suppressed data,Suppressed data,669,18,,,,,,
2020,5401380,TAYLOR COUNTY SCHOOLS,WV,GRAFTON,Regular local school district,2297,Other,Pre-K,12,5,No change; operational,Suppressed data,Suppressed data,1127,27,,,,,,
2020,5401410,TUCKER COUNTY SCHOOLS,WV,PARSONS,Regular local school district,929,Other,Pre-K,12,3,No change; operational,Suppressed data,Suppressed data,473,20,,,,,,
2020,5401440,TYLER COUNTY SCHOOLS,WV,MIDDLEBOURNE,Regular local school district,1188,Other,Pre-K,12,4,No change; operational,Suppressed data,Suppressed data,609,31,,,,,,
2020,5401470,UPSHUR COUNTY SCHOOLS,WV,BUCKHANNON,Regular local school district,3705,Other,Pre-K,12,10,No change; operational,Suppressed data,Suppressed data,1674,19,,,,,,
2020,5401500,WAYNE COUNTY SCHOOLS,WV,WAYNE,Regular local school district,6461,Other,Pre-K,12,18,No change; operational,Suppressed data,Suppressed data,2955,25,,,,,,
2020,5401530,WEBSTER COUNTY SCHOOLS,WV,WEBSTER SPRINGS,Regular local school district,1194,Other,Pre-K,12,4,No change; operational,Suppressed data,Suppressed data,631,23,,,,,,
2020,5401560,WETZEL COUNTY SCHOOLS,WV,NEW MARTINSVILLE,Regular local school district,2370,Other,Pre-K,12,9,No change; operational,Suppressed data,Suppressed data,1074,25,,,,,,
2020,5401590,WIRT COUNTY SCHOOLS,WV,ELIZABETH,Regular local school district,948,Other,Pre-K,12,3,No change; operational,Suppressed data,Suppressed data,473,35,,,,,,
2020,5401620,WOOD COUNTY SCHOOLS,WV,PARKERSBURG,Regular local school district,11864,Other,Pre-K,12,26,No change; operational,Suppressed data,Suppressed data,5553,38,,,,,,
2020,5401621,WV SCHOOLS FOR THE DEAF AND THE BLIND,WV,ROMNEY,State-operated agency,90,Other,Pre-K,12,2,No change; operational,Suppressed data,Suppressed data,49,5,,,,,,
2020,5401650,WYOMING COUNTY SCHOOLS,WV,PINEVILLE,Regular local school district,3681,Other,Pre-K,12,14,No change; operational,Suppressed data,Suppressed data,1757,20,,,,,,
2019,5400030,BARBOUR COUNTY BOARD OF EDUCATION,WV,PHILIPPI,Regular local school district,2266,Other,Pre-K,12,7,No change; operational,,,,,156,97,,,,
2019,5400060,BERKELEY COUNTY SCHOOLS,WV,MARTINSBURG,Regular local school district,19700,Other,Pre-K,12,33,No change; operational,,,,,1377,95,,,,
2019,5400090,BOONE COUNTY  SCHOOLS,WV,MADISON,Regular local school district,3674,Other,Pre-K,12,13,No change; operational,,,,,279,92,,,,
2019,5400120,BRAXTON COUNTY SCHOOLS,WV,SUTTON,Regular local school district,1935,Other,Pre-K,12,8,No change; operational,,,,,141,97,,,,
2019,5400150,BROOKE COUNTY SCHOOLS,WV,WELLSBURG,Regular local school district,2691,Other,Pre-K,12,7,No change; operational,,,,,193,97,,,,
2019,5400180,CABELL COUNTY SCHOOLS,WV,HUNTINGTON,Regular local school district,12189,Other,Pre-K,12,26,No change; operational,,,,,869,90,,,,
2019,5400210,CALHOUN COUNTY SCHOOLS,WV,MT. ZION,Regular local school district,937,Other,Pre-K,12,4,No change; operational,,,,,93,97,,,,
2019,5400240,CLAY COUNTY SCHOOLS,WV,CLAY,Regular local school district,1813,Other,Pre-K,12,6,No change; operational,,,,,109,97,,,,
2019,5400270,DODDRIDGE COUNTY SCHOOLS,WV,WEST UNION,Regular local school district,1121,Other,Pre-K,12,4,No change; operational,,,,,78,97,,,,
2019,5400058,Eastern Panhandle Instructional Cooperative,WV,Martinsburg,Regional education service agency,,Missing/not reported,,,0,New,,,,,,,,,,
2019,5400300,FAYETTE COUNTY SCHOOLS,WV,FAYETTEVILLE,Regular local school district,6064,Other,Pre-K,12,21,No change; operational,,,,,444,90,,,,
2019,5400330,GILMER COUNTY SCHOOLS,WV,GLENVILLE,Regular local school district,806,Other,Pre-K,12,2,No change; operational,,,,,52,95,,,,
2019,5400360,GRANT COUNTY SCHOOLS,WV,PETERSBURG,Regular local school district,1619,Other,Pre-K,12,5,No change; operational,,,,,115,92,,,,
2019,5400390,GREENBRIER COUNTY SCHOOLS,WV,LEWISBURG,Regular local school district,4807,Other,Pre-K,12,14,No change; operational,,,,,348,95,,,,
2019,5400420,HAMPSHIRE COUNTY SCHOOLS,WV,ROMNEY,Regular local school district,2968,Other,Pre-K,12,9,No change; operational,,,,,234,86,,,,
2019,5400450,HANCOCK COUNTY SCHOOLS,WV,NEW CUMBERLAND,Regular local school district,3985,Other,Pre-K,12,9,No change; operational,,,,,297,95,,,,
2019,5400480,HARDY COUNTY SCHOOLS,WV,MOOREFIELD,Regular local school district,2272,Other,Pre-K,12,6,No change; operational,,,,,146,97,,,,
2019,5400510,HARRISON COUNTY SCHOOLS,WV,CLARKSBURG,Regular local school district,10593,Other,Pre-K,12,28,No change; operational,,,,,679,98,,,,
2019,5400511,INSTITUTIONAL EDUCATIONAL PROGRAMS,WV,CHARLESTON,State-operated agency,,Other,Pre-K,12,22,No change; operational,,,,,,,,,,
2019,5400540,JACKSON COUNTY SCHOOLS,WV,RIPLEY,Regular local school district,4489,Other,Pre-K,12,13,No change; operational,,,,,320,92,,,,
2019,5400570,JEFFERSON COUNTY SCHOOLS,WV,CHARLES TOWN,Regular local school district,8954,Other,Pre-K,12,16,No change; operational,,,,,678,91,,,,
2019,5400600,KANAWHA COUNTY SCHOOLS,WV,CHARLESTON,Regular local school district,25429,Other,Pre-K,12,69,No change; operational,,,,,1930,88,,,,
2019,5400630,LEWIS COUNTY SCHOOLS,WV,WESTON,Regular local school district,2578,Other,Pre-K,12,6,No change; operational,,,,,168,87,,,,
2019,5400660,LINCOLN COUNTY SCHOOLS,WV,HAMLIN,Regular local school district,3312,Other,Pre-K,12,8,No change; operational,,,,,211,92,,,,
2019,5400690,LOGAN COUNTY SCHOOLS,WV,WEST LOGAN  WV,Regular local school district,5507,Other,Pre-K,12,18,No change; operational,,,,,454,88,,,,
2019,5400720,MARION COUNTY SCHOOLS,WV,FAIRMONT,Regular local school district,7965,Other,Pre-K,12,22,No change; operational,,,,,550,97,,,,
2019,5400750,MARSHALL COUNTY SCHOOLS,WV,MOUNDSVILLE,Regular local school district,4460,Other,Pre-K,12,14,No change; operational,,,,,315,97,,,,
2019,5400780,MASON COUNTY SCHOOLS,WV,POINT PLEASANT,Regular local school district,3935,Other,Pre-K,12,12,No change; operational,,,,,280,94,,,,
2019,5400810,MCDOWELL COUNTY SCHOOLS,WV,WELCH,Regular local school district,2901,Other,Pre-K,12,11,No change; operational,,,,,211,82,,,,
2019,5400840,MERCER COUNTY SCHOOLS,WV,PRINCETON,Regular local school district,8785,Other,Pre-K,12,26,No change; operational,,,,,629,92,,,,
2019,5400870,MINERAL COUNTY SCHOOLS,WV,KEYSER,Regular local school district,4094,Other,Pre-K,12,14,No change; operational,,,,,292,96,,,,
2019,5400900,MINGO COUNTY SCHOOLS,WV,WILLIAMSON,Regular local school district,4130,Other,Pre-K,12,10,No change; operational,,,,,241,94,,,,
2019,5400930,MONONGALIA COUNTY SCHOOLS,WV,MORGANTOWN,Regular local school district,11739,Other,Pre-K,12,19,No change; operational,,,,,799,92,,,,
2019,5400960,MONROE COUNTY SCHOOLS,WV,UNION,Regular local school district,1702,Other,Pre-K,12,5,No change; operational,,,,,127,97,,,,
2019,5400990,MORGAN COUNTY SCHOOLS,WV,BERKELEY SPRINGS,Regular local school district,2245,Other,Pre-K,12,7,No change; operational,,,,,174,87,,,,
2019,5400061,Mountain State Educational Services Cooperative,WV,Dunbar,Regional education service agency,,Missing/not reported,,,0,New,,,,,,,,,,
2019,5401020,NICHOLAS COUNTY SCHOOLS,WV,SUMMERSVILLE,Regular local school district,3634,Other,Pre-K,12,14,No change; operational,,,,,253,96,,,,
2019,5401050,OHIO COUNTY SCHOOLS,WV,WHEELING,Regular local school district,5269,Other,Pre-K,12,13,No change; operational,,,,,356,98,,,,
2019,5401080,PENDLETON COUNTY SCHOOLS,WV,FRANKLIN,Regular local school district,864,Other,Pre-K,12,4,No change; operational,,,,,66,97,,,,
2019,5401110,PLEASANTS COUNTY SCHOOLS,WV,ST. MARYS,Regular local school district,1094,Other,Pre-K,12,5,No change; operational,,,,,88,97,,,,
2019,5401140,POCAHONTAS COUNTY SCHOOLS,WV,BUCKEYE,Regular local school district,982,Other,Pre-K,12,5,No change; operational,,,,,80,87,,,,
2019,5401170,PRESTON COUNTY SCHOOLS,WV,KINGWOOD,Regular local school district,4384,Other,Pre-K,12,10,No change; operational,,,,,307,90,,,,
2019,5401200,PUTNAM COUNTY SCHOOLS,WV,WINFIELD,Regular local school district,9482,Other,Pre-K,12,23,No change; operational,,,,,730,98,,,,
2019,5401230,RALEIGH COUNTY SCHOOLS,WV,BECKLEY,Regular local school district,11461,Other,Pre-K,12,27,No change; operational,,,,,792,88,,,,
2019,5401260,RANDOLPH COUNTY SCHOOLS,WV,ELKINS,Regular local school district,3870,Other,Pre-K,12,14,No change; operational,,,,,265,95,,,,
